date,daily_reviews,daily_avg_rating
2023-09-04,1,5.0
2023-09-07,1,1.0
2023-09-11,1,5.0
2023-09-12,1,5.0
2023-09-30,1,1.0
2023-10-08,1,5.0
2023-10-10,1,4.0
2023-11-01,1,5.0
2023-11-08,1,3.0
2023-11-13,2,5.0
2023-11-14,9,5.0
2023-11-15,5,5.0
2023-11-20,1,5.0
2023-12-08,1,5.0
2023-12-31,1,5.0
2024-01-08,1,1.0
2024-01-13,1,5.0
2024-01-23,1,5.0
2024-01-25,1,3.0
2024-02-14,1,1.0
2024-02-17,1,4.0
2024-02-29,1,1.0
2024-03-11,1,5.0
2024-03-20,1,5.0
2024-03-22,1,3.0
2024-03-27,2,4.0
2024-04-15,1,5.0
2024-04-20,1,5.0
2024-05-05,1,5.0
2024-05-06,1,1.0
2024-05-09,1,4.0
2024-05-16,1,1.0
2024-05-21,2,5.0
2024-05-24,1,2.0
2024-06-09,1,1.0
2024-06-11,1,1.0
2024-06-20,1,4.0
2024-06-26,1,5.0
2024-07-04,1,1.0
2024-07-08,1,5.0
2024-07-10,1,5.0
2024-07-11,1,5.0
2024-07-17,1,5.0
2024-07-18,1,1.0
2024-07-19,1,5.0
2024-07-20,1,1.0
2024-08-01,2,4.5
2024-08-03,1,1.0
2024-08-05,1,1.0
2024-08-12,1,5.0
2024-08-13,3,4.0
2024-08-14,1,5.0
2024-08-15,2,5.0
2024-08-21,1,5.0
2024-08-22,1,1.0
2024-08-23,2,3.5
2024-08-25,2,5.0
2024-08-29,1,1.0
2024-09-03,1,5.0
2024-09-04,1,1.0
2024-09-12,1,5.0
2024-09-13,3,1.6666666666666667
2024-09-16,1,1.0
2024-09-18,1,3.0
2024-09-23,2,1.0
2024-09-26,1,5.0
2024-10-04,3,5.0
2024-10-14,1,1.0
2024-10-15,1,5.0
2024-10-28,3,4.666666666666667
2024-10-29,2,5.0
2024-10-30,4,4.75
2024-10-31,1,5.0
2024-11-01,1,5.0
2024-11-04,1,5.0
2024-11-05,2,5.0
2024-11-06,2,5.0
2024-11-07,1,5.0
2024-11-10,1,3.0
2024-11-12,2,3.0
2024-11-20,1,3.0
2024-11-24,1,5.0
2024-12-02,1,1.0
2024-12-03,1,1.0
2024-12-07,1,5.0
2024-12-09,1,4.0
2024-12-11,1,4.0
2024-12-20,1,5.0
2024-12-25,1,2.0
2024-12-28,1,1.0
2025-01-02,1,5.0
2025-01-05,1,1.0
2025-01-11,1,3.0
2025-01-12,1,5.0
2025-01-13,1,1.0
2025-01-14,1,5.0
2025-01-18,1,1.0
2025-01-21,1,1.0
2025-01-24,1,1.0
2025-01-27,1,1.0
2025-01-30,1,3.0
2025-02-01,1,5.0
2025-02-02,1,4.0
2025-02-03,1,5.0
2025-02-04,1,2.0
2025-02-06,1,5.0
2025-02-07,1,1.0
2025-02-08,2,1.5
2025-02-09,1,3.0
